Whiskey,Percent.whiskey,Rep,Style,o-Xylene,p-Xylene,Mesitylene,Furfural,Benzofuran,Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-",Benzonitrile,"Benzofuran, 2-methyl-",Naphthalene,"1H-Indene, 1-ethylidene-",trans-3-Methyl-4-octanolide,"Phenol, 2-methyl-","Phenol, 4-ethyl-2-methoxy-",Mesitylene,"Phenol, 3,4-dimethyl-","Phenol, 3-ethyl-5-methyl-","Phenol, 3-ethyl-",Dibenzofuran
Black Bottle,100,2,BS,5286.758389,5924.765918,3937.351046,344868.1087,1700.828371,38798.216,4219.348206,2487.490451,1407.457242,72989.1026,7040.187955,642.9926311,1833.946139,0,3058.484743,643.7956208,0,1785.836166,848.023919
Black Bottle,100,3,BS,4529.742861,4985.095897,3965.761084,336106.0081,2946.197756,39992.14104,4700.636057,4029.639165,4700.718543,306239.2776,30987.16745,711.2274686,4726.215866,819.5299147,2789.858403,3627.460679,0,1830.079788,5431.89941
Bulleit,50,1,RW,6303.923629,3499.982315,6702.111096,218352.9913,1106.963243,18514.33597,20594.69312,0,0,12109.90793,1747.361998,72177.25524,0,49528.20327,6170.069192,0,0,1443.512069,0
Bulleit,50,2,RW,6515.763775,3713.843305,7098.660041,223855.3144,1050.683286,19419.41339,20759.36611,0,0,12839.92006,1879.34176,72143.27019,0,49960.88068,6568.338692,0,0,1421.226184,0
Bulleit,50,3,RW,6454.098045,3757.895813,6929.868632,225843.5649,892.6300315,18840.45059,19750.38786,0,0,11608.70538,1521.574239,70567.42219,0,46190.73429,6520.963813,0,0,1411.730111,0
Bulleit,60,1,RW,4950.500631,2846.033323,5753.379247,224661.2773,978.2022418,18368.54448,23467.97769,400.551272,0,10940.15954,1482.561362,64876.89052,0,45395.40282,5417.921135,0,0,1416.108013,0
Bulleit,60,2,RW,5040.865001,3017.824816,5826.622277,225795.9747,893.4489526,18313.73728,22869.90916,432.4770014,0,10765.8943,1494.421635,65752.0955,0,43676.72163,5563.020157,0,0,1395.435324,0
Bulleit,60,3,RW,5416.665086,3285.916169,6168.422525,237803.7842,841.8611946,18440.25016,24446.05929,432.5234532,0,11060.79305,1441.011576,68982.33902,0,43948.45127,5796.769659,0,0,1448.833444,0
Bulleit,70,1,RW,4340.036955,2748.733212,4951.874555,230926.8463,0,16231.07527,28476.55781,0,0,8215.846724,666.2714477,51040.85394,0,33317.56192,4471.787655,0,0,1362.349977,0
Bulleit,70,2,RW,4251.188328,2601.327623,4853.925996,230138.8619,0,15679.70144,27285.41385,545.6334414,0,7350.741421,259.5961359,46316.06211,0,29591.31534,4417.912951,0,0,1314.926394,0
Bulleit,70,3,RW,4439.152208,2862.786133,4955.32596,233309.8916,484.936204,15476.1928,28075.98742,555.3855954,0,7791.502626,546.4159502,47423.61012,0,31784.60859,4691.496228,0,0,1356.927791,0
Bulleit,80,1,RW,3642.028315,2380.50278,3941.976078,239045.8205,0,13951.73627,33430.32458,550.3742785,0,5909.877637,0,40481.95517,0,24278.99722,3407.009055,0,0,1361.751268,0
Bulleit,80,2,RW,3686.60603,2327.686053,3985.053798,240102.792,0,14096.96879,34852.39291,0,518.7484692,6397.885741,0,38007.06787,0,23395.47933,3359.672071,0,0,1366.710531,0
Bulleit,80,3,RW,3644.59511,2328.32959,3824.844766,227575.9444,0,13324.02002,30052.75199,0,327.7313727,5726.829146,0,33052.86645,0,21504.84036,3169.474235,0,0,1350.836106,0
Bulleit,90,1,RW,2243.004221,1573.970589,2528.780915,232425.1506,180.2683296,12815.15985,24448.18906,0,0,4560.961961,0,24416.40805,0,15535.85031,2073.893262,86.3410371,0,1514.249577,0
Bulleit,90,2,RW,2283.656933,1534.724872,2572.138211,244098.0157,285.6283407,13306.06251,25684.13272,0,0,4612.953636,0,29313.00402,0,17243.37065,2162.604612,0,0,1536.389421,0
Bulleit,90,3,RW,2308.504687,1555.071141,2417.656935,237959.4727,0,11916.61969,22590.06083,0,0,3367.376664,0,22095.31633,0,13308.45529,2119.140736,59.95556121,0,1497.622108,0
Bulleit,100,1,RW,1535.657871,932.8604551,1588.162128,237323.6644,42.12889587,11712.01941,18693.14248,186.3802447,0,3148.956108,0,18754.31297,0,10794.25273,1654.753822,126.3574577,0,1387.512898,0
Bulleit,100,2,RW,1303.813571,971.281627,1570.004571,244403.0499,0,11343.52597,18232.79067,430.9209467,0,1905.416897,0,25256.21731,0,12985.14314,1571.864228,149.8354156,0,1379.209354,0
Bulleit,100,3,RW,1491.314407,1043.61167,1913.379366,239213.0629,28.34411914,11747.42565,18573.744,220.8176364,0,3564.823769,0,22366.0486,0,12772.05586,1592.924898,156.4430691,0,1411.443856,0
Bunnahabhain,50,1,SM,34349.22386,17148.0095,48438.33764,204478.9239,20543.84113,50733.8186,2463.922199,18328.97824,11617.35774,1202515.289,71929.03144,17542.05091,83034.79622,25143.4227,63423.65375,64430.01432,4785.803874,2862.604137,9423.583758
Bunnahabhain,50,2,SM,31374.75154,16558.59647,47696.21627,206361.3231,20529.84388,49860.5479,2640.62332,18213.59765,10293.46853,1078259.688,63230.46571,18975.10184,85698.97469,26502.86326,59903.09556,68005.86598,5454.836162,3189.329438,7943.336632
Bunnahabhain,50,3,SM,34787.06636,17490.00555,48409.21199,210034.0994,20955.01156,52451.18304,2736.171945,19349.73312,11527.31299,1247297.929,76890.91742,16793.71339,77769.16801,23213.90398,63703.57763,60682.98285,4891.819521,3335.199325,7860.111263
Bunnahabhain,60,1,SM,25996.86589,14155.47171,42139.23536,213660.4382,18230.0566,47994.78706,2576.347344,16782.89923,10185.98358,942997.5186,52192.93662,14254.48859,74932.70491,20269.85379,53492.90226,53076.25255,3134.438674,2195.733421,7426.177933
Bunnahabhain,60,2,SM,26430.72466,13922.67641,40233.19121,212385.4704,18052.24311,47998.02087,2570.756994,16842.51257,10585.39503,1036018.022,59152.35074,14919.5936,76554.024,21369.07453,52272.65406,54300.8777,3546.781095,2251.92891,7374.908445
Bunnahabhain,60,3,SM,26276.87813,13960.97676,40069.59331,215207.0694,18025.71779,48492.17,2523.667108,17547.94386,9826.288668,975994.6176,55028.42755,15732.47832,77596.50876,21831.79271,51311.09355,56489.38202,3829.396404,2620.883533,7104.292592
Bunnahabhain,70,1,SM,21466.08387,11380.13501,32835.53435,212862.5407,15041.88773,44587.70478,2416.375373,15856.72408,8161.055191,726420.3978,34178.02006,12440.06245,67448.64087,15749.454,42136.79315,45569.35005,1854.153966,1884.554114,5004.002877
Bunnahabhain,70,2,SM,22630.72476,11968.53181,35385.46731,217894.0992,15800.03365,44768.25646,2896.7346,16585.73174,7182.099868,690552.977,36470.58581,12084.53466,62370.65016,14739.4898,45367.57065,42542.11424,2549.905175,2303.760884,3878.040505
Bunnahabhain,70,3,SM,22366.4613,11794.33838,33283.5083,218208.7495,15449.93016,44749.26823,2837.817287,16229.82772,7572.904307,734662.4821,39289.38268,11175.02616,62049.08174,14688.44351,43192.75155,40557.35101,2485.474286,2119.757903,4699.786044
Bunnahabhain,80,1,SM,22618.11643,11823.86481,28917.34326,213865.4626,12543.85178,40532.59465,3066.101605,14580.84775,5788.374578,537268.2115,23974.9109,7124.93299,47562.23345,9127.30331,38794.90773,26400.12717,698.2274683,1540.554173,3686.847332
Bunnahabhain,80,2,SM,22430.65217,11955.42945,29283.00899,219459.5746,13028.8475,41106.22452,3255.456162,14913.41792,5854.329252,537492.3625,25094.75473,6076.017971,45400.82993,8492.554089,39052.78742,24141.80273,580.4476519,1532.659904,3685.456855
Bunnahabhain,80,3,SM,22238.49857,11657.61771,28524.15546,214329.8226,12556.21666,42122.9787,3096.147381,14756.79749,6816.290835,642469.4151,30053.16597,8527.035553,53710.44748,11031.92284,38263.81725,31453.58967,883.937433,1685.247695,4087.037954
Bunnahabhain,90,1,SM,16199.9973,8725.724595,21562.4835,212782.2656,10124.13074,37949.89592,3675.239915,13215.60483,3961.439655,385548.0282,15390.15131,4005.334069,33321.56323,5310.959944,28095.78656,15865.61303,109.4882615,1361.168639,2728.908361
Bunnahabhain,90,2,SM,16534.59724,9176.997392,22340.55661,217502.166,10439.43618,38703.48028,3785.385896,13768.87975,3844.603063,408663.1903,19602.04402,4710.17082,36943.89425,6216.315646,29096.81244,18576.31034,359.0110174,1555.941041,2922.920913
