Whiskey,Percent.whiskey,Rep,Style,"8-Nonenoic acid, ethyl ester",Ethyl trans-4-decenoate,Ethyl 9-decenoate,"Benzeneacetic acid, ethyl ester","10-Undecenoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Ethyl 9-hexadecenoate,"Oxalic acid, decyl 2-phenylethyl ester"
Old Forester,100,1,BU,7056.076384,24381.23092,0,12315.27357,0,14.27586951,1828.895082,726.6012614
Old Forester,100,2,BU,7557.229633,29639.15938,0,10636.60136,0,226.2179627,1622.217148,0
Old Forester,100,3,BU,9965.249652,77713.24005,0,16426.28287,0,0,2652.16088,1033.795245
Glansa,50,1,BS,20096.39707,449699.3181,67214.47383,23382.63697,3475.073571,38460.54125,129255.0557,34274.30001
Glansa,50,2,BS,17390.68811,284581.3893,55001.06882,28610.21638,2740.608384,38433.58577,171523.8372,59333.58255
Glansa,50,3,BS,17241.12462,268983.6606,53782.37958,29207.24381,2689.430813,39197.23816,136390.6317,62320.66272
Glansa,60,1,BS,15296.3363,290083.1753,49080.27091,25843.69329,2582.779016,36854.47249,201493.9012,61545.81782
Glansa,60,2,BS,15682.2488,262600.4703,46744.46894,26740.16349,2669.69163,35361.29071,119229.3942,37267.77087
Glansa,60,3,BS,17261.07543,378168.7205,57177.66988,27909.74116,3502.410877,41647.01885,205711.9505,74394.1657
Glansa,70,1,BS,10712.08163,149573.7071,28406.57301,22460.32478,1233.103082,25270.59201,113831.9534,27433.25057
Glansa,70,2,BS,11054.27133,145510.6516,29341.68295,25163.61883,1401.039669,28171.28313,191352.9574,64944.89843
Glansa,70,3,BS,10562.49352,120857.9394,25503.90727,23932.31559,1139.422879,28956.88072,178318.5636,70056.05844
Glansa,80,1,BS,7665.109279,96309.21004,19295.17134,20944.73124,0,22393.29544,230821.9963,53859.43232
Glansa,80,2,BS,7667.744076,79326.03976,16186.27744,21638.08115,0,24087.15354,206650.3421,63162.21812
Glansa,80,3,BS,7780.74393,73956.09632,14672.73757,20376.76563,0,20243.8582,223854.4745,49492.47309
Glansa,90,1,BS,4972.060023,36976.66857,6944.971857,17816.81493,0,16019.23242,105938.8323,29783.27154
Glansa,90,2,BS,5295.84362,43028.17484,8174.670673,17650.35135,0,16577.46494,133799.6816,28300.99156
Glansa,90,3,BS,5382.112102,53603.84066,8874.654163,16063.08496,0,15529.88142,70888.97574,8111.935107
Glansa,100,1,BS,3332.978068,22207.31625,3533.571781,15200.92565,0,12566.31746,43262.76843,18219.77949
Glansa,100,2,BS,3028.469025,26721.54402,2048.568395,13057.07984,0,8254.225855,12672.77234,2694.540631
Glansa,100,3,BS,3219.940593,23554.2109,3519.181844,13603.19914,0,11067.19729,37466.78064,12566.4664
Glencadam,50,1,SM,18691.3449,179784.1627,318181.7452,6709.886544,1538.25197,4855.093314,318013.7722,39341.92677
Glencadam,50,2,SM,20296.09278,184004.2329,343259.3102,9040.789334,1888.931527,5204.091614,356030.1031,47294.63837
Glencadam,50,3,SM,20549.43501,216826.7281,335664.4786,6642.358914,1810.300435,4927.362207,350908.1332,45952.60793
Glencadam,60,1,SM,16530.15756,204253.6188,288117.1758,4730.123486,1550.700596,3905.855675,374272.1424,49324.98575
Glencadam,60,2,SM,16485.00599,210707.8376,294811.8782,5426.320843,1628.838536,4120.992305,338510.2297,41884.35116
Glencadam,60,3,SM,15803.04921,188163.9063,276068.7546,6001.796738,1525.429378,4293.467654,336528.2654,43454.84958
Glencadam,70,1,SM,11364.9649,118159.1124,187629.4108,5199.872959,888.2763623,2999.61028,361926.8779,42948.08816
Glencadam,70,2,SM,11111.50803,116551.6706,187040.4884,5028.717043,918.227723,3117.199478,347207.8083,39943.77471
Glencadam,70,3,SM,11232.10538,127113.9661,194925.2035,5450.684191,1084.778473,3114.602196,360228.0185,37543.41155
Glencadam,80,1,SM,7712.482315,66113.82054,113795.7893,4266.958071,435.1356301,2188.531497,354612.5064,36881.20142
Glencadam,80,2,SM,7280.914832,67375.83893,110046.0124,3680.285786,416.6106528,1821.110556,343005.9051,37145.1258
Glencadam,80,3,SM,7218.145157,68718.71253,111337.5747,3789.631315,384.48735,1997.569857,293773.6944,34388.21947
Glencadam,90,1,SM,5541.958837,32177.70443,60470.04525,3771.322788,0,1169.823192,310497.903,24458.90264
Glencadam,90,2,SM,5965.072333,31508.40199,65065.32027,5363.865476,0,1429.778496,327478.9648,24668.94272
Glencadam,90,3,SM,6380.402452,32311.2458,67149.44746,5450.160692,0,1531.032221,330414.2666,28834.14653
Glencadam,100,1,SM,4235.735518,15679.64362,32958.14797,3028.799638,0,749.1885284,168848.5485,16177.21569
Glencadam,100,2,SM,3838.439159,9001.520147,28972.07845,3530.787421,0,683.3771822,171601.4817,18289.74031
Glencadam,100,3,SM,4114.868656,14926.50301,34499.39224,3291.178713,0,737.0120172,179571.4478,14417.33075
Famous Grouse,50,1,BS,4876.131165,61843.30633,38403.26998,3615.674992,0,48.41404809,285175.8403,55633.08853
Famous Grouse,50,2,BS,3822.54179,81016.64879,43010.56914,4406.644339,0,353.3325252,275865.6644,62489.88942
Famous Grouse,50,3,BS,3958.351702,58500.25548,36469.76901,3753.733653,0,189.951637,312432.488,56473.25542
Famous Grouse,60,1,BS,4094.277175,52447.88229,32234.49604,3879.120419,0,197.1323106,325452.1331,57782.74079
Famous Grouse,60,2,BS,3171.684641,64509.08703,35846.52433,4224.083351,0,390.0613318,341551.1766,63436.44535
Famous Grouse,60,3,BS,3410.068331,47076.57255,28058.7094,3925.719154,0,195.1004554,298021.9579,63263.94173
Famous Grouse,70,1,BS,2342.143249,32616.29743,18977.53027,3351.074045,0,4.623915508,329604.7777,51488.80792
Famous Grouse,70,2,BS,2490.013561,31894.66635,18989.58313,2783.152217,0,95.94919651,228125.2664,40351.99347
Famous Grouse,70,3,BS,2191.215,32016.14943,18925.06951,3055.317485,0,0,298951.5283,47504.2242
Famous Grouse,80,1,BS,2124.092747,17323.48815,10838.90169,3083.966198,0,0,269744.9227,40223.41589
Famous Grouse,80,2,BS,1897.63512,22728.71442,14060.57292,3375.025271,0,0,273314.9965,37682.98814
Famous Grouse,80,3,BS,1724.137696,18223.70768,10683.97727,2894.759817,0,0,241916.8432,33188.68338
Famous Grouse,90,1,BS,1791.874088,3021.680613,2732.253401,1875.233269,0,0,130685.8369,20943.0721
Famous Grouse,90,2,BS,1380.300154,6864.677981,4093.512781,2455.745368,0,0,120659.4547,19736.59417
Famous Grouse,90,3,BS,1779.365152,0,2745.601067,2111.716564,0,0,146482.1816,22601.43461
Famous Grouse,100,1,BS,1094.590184,0,313.7424924,1697.353743,0,0,48415.89841,12413.9666
Famous Grouse,100,2,BS,1139.224857,0,1129.5672,1906.8025,0,0,48821.28909,11166.20436
