Whiskey,Percent.whiskey,Rep,Style,2-Methoxy-N-methylethylamine,Pentane,Octane,"Propanoic acid, 2,2-dimethyl-, octyl ester","Undecane, 2,6-dimethyl-",Toluene,"1,1,6,6-Tetramethylspiro[4.4]nonane",Pentadecane,"1-Decanol, 2-hexyl-",Benzo[c]thiophene,"Cyclopentane, 1-ethenyl-3-ethyl-2-methyl-"
Old Forester,100,3,BU,81421.02844,326244.8418,5031.274921,30534.45446,16457.49821,6816.427835,1307.325303,1966.368401,1646.475137,19.78014014,0
Glansa,50,1,BS,89531.90239,4405.057837,0,208.3799277,88.0339714,4921.620125,0,1501.310523,5914.639358,963.4081769,1483.32694
Glansa,50,2,BS,75788.92512,4025.630991,0,0,87.36685661,4018.137005,0,1142.718666,3765.750046,501.1783825,1401.514707
Glansa,50,3,BS,71363.38455,3921.99662,0,0,95.08670634,3792.974691,0,1322.081032,3293.670155,210.7780414,1454.587699
Glansa,60,1,BS,80625.21751,4130.968331,92.46893131,231.3258338,0,4064.139026,0,1870.443081,3581.685008,575.8037816,1977.83668
Glansa,60,2,BS,90307.15715,4369.409689,142.057478,251.1297413,98.08701656,4311.423033,0,1942.931428,3304.312168,537.3629783,1346.666054
Glansa,60,3,BS,79386.42758,4090.642631,0,0,157.4737137,4487.343271,0,2019.247193,4546.022971,555.1747831,2600.540858
Glansa,70,1,BS,96749.05115,4219.662051,114.6909842,0,260.2684637,3713.643618,0,1390.564158,1441.540866,172.0115202,1447.81287
Glansa,70,2,BS,77771.40031,4112.345976,0,0,0,3253.460371,0,897.8280951,1384.583046,9.446911978,2217.376709
Glansa,70,3,BS,74353.22326,4504.078375,131.0348795,0,139.8066733,3242.766969,0,786.6380404,937.338085,17.4493452,2207.925776
Glansa,80,1,BS,81900.33994,4076.563176,0,173.4061983,0,3087.433177,583.652439,1852.068023,827.2383334,0,1659.776485
Glansa,80,2,BS,77130.00936,3972.930489,0,0,222.4303567,3007.235311,0,1390.557024,0,6.083317504,1818.50707
Glansa,80,3,BS,83313.48508,4233.608081,0,0,242.1884154,3183.163367,188.1723686,1700.762159,623.0293466,8.642635261,1658.861859
Glansa,90,1,BS,73602.70907,4222.648464,88.3108977,0,200.8013007,2268.737644,0,1283.401732,844.7918137,0,455.8687256
Glansa,90,2,BS,83145.93437,4330.970503,0,254.2894099,227.162113,2736.709744,747.3169546,2350.159311,1899.119373,0,334.1483717
Glansa,90,3,BS,106824.5876,4250.295907,0,814.0636391,528.2334642,3007.851941,1010.000509,4602.577505,4161.451646,0,641.619293
Glansa,100,1,BS,83064.04761,4133.043502,0,461.5075519,125.9476503,2135.582802,674.5644548,330.4998102,0,0,254.7260387
