Whiskey,Percent.whiskey,Rep,Style,1-Propanol,"1-Propanol, 2-methyl-",1-Butanol,"1-Butanol, 3-methyl-",1-Decanol,(Z)-4-Decen-1-ol,Phenylethyl Alcohol,1-Dodecanol,1-Tetradecanol,Octanoic acid,n-Decanoic acid,1-Hexadecanol,Dodecanoic acid
Peat Monster,80,2,BS,133021.3638,1188051.58,39950.89391,5729970.129,31330.49786,660.4570938,443963.0624,18130.01901,120566.1624,21599.28183,37109.94176,241384.9829,6394.323319
Peat Monster,80,3,BS,269106.6434,904432.634,55988.84665,5869895.39,22432.94746,0,557451.3022,14805.27616,140448.0493,31574.22139,42017.81081,240384.5744,11683.86264
Peat Monster,90,1,BS,167843.4841,1740904.279,57941.39475,7585395.747,18711.94708,256.1423121,1033420.391,8492.761257,43890.94733,40847.8251,53268.68946,73127.26517,16835.41966
Peat Monster,90,2,BS,161934.9455,1480808.914,47697.38873,6048100.087,15122.06239,0,583817.7056,6433.847695,54609.83628,23465.8157,41991.16307,272165.27,10414.81689
Peat Monster,90,3,BS,74774.27973,935900.1131,31147.33477,4490937.269,12635.2191,0,270621.5803,3101.084651,42697.51658,7263.395236,28131.07652,252813.8087,3873.571641
Peat Monster,100,1,BS,168591.5463,1684189.195,52441.62846,6786767.21,7766.707052,0,490675.2121,1084.073368,8863.945211,7112.526515,36230.32387,16069.85807,0
Peat Monster,100,2,BS,105625.7837,1141464.274,38011.13417,5026288.659,10263.08404,0,598241.7415,3610.900903,24927.87492,19283.06933,43142.01778,43381.26474,7581.734571
Peat Monster,100,3,BS,83956.01266,947877.7697,31114.62068,4204025.071,5019.69991,0,222263.3787,0,10065.28657,4304.68561,28525.30954,71473.63176,0
Aberlour 12,50,1,SM,82890.67695,362556.1292,17035.24576,3380117.452,94861.7243,0,584360.4866,109277.1879,334211.9833,273200.2778,1247322.271,44976.95413,290350.1724
Aberlour 12,50,2,SM,40488.288,568119.2459,14041.84061,3392979.968,120403.4303,0,664027.2304,127555.673,413233.4651,341374.9503,1369157.588,62272.31178,319211.0787
Aberlour 12,50,3,SM,58427.58427,535914.1016,14995.81203,3250189.214,97736.58594,0,556093.9167,107648.1789,328848.8872,266654.6358,925038.5194,51759.56064,220369.45
Aberlour 12,60,1,SM,46385.91439,669983.8655,16101.98638,3766828.14,89983.09994,0,675291.0469,105987.1969,392353.3621,286889.3275,959718.9505,50253.87901,239627.5737
Aberlour 12,60,2,SM,94205.15472,408946.1366,19980.86319,3810075.044,75240.59952,0,576462.5681,84914.05587,358450.0603,219401.3296,668878.9471,58910.88673,192864.3124
Aberlour 12,60,3,SM,65218.65995,623421.0306,16237.35047,3589947.567,83185.70342,0,564405.3549,90666.21094,382881.8901,237719.8819,672360.4062,56231.75124,167546.2901
Aberlour 12,70,1,SM,59918.5166,760533.6788,18010.4324,3913309.489,65079.19802,0,560257.319,68623.31506,462813.6805,185540.6734,404156.2526,75408.24387,136889.0227
Aberlour 12,70,2,SM,129487.381,515370.8186,24478.68344,4233548.358,48960.59346,0,657373.4721,52454.16393,351801.4231,177082.6315,389106.3373,57000.49011,111916.7246
Aberlour 12,70,3,SM,88097.38359,807545.386,20076.84894,4006824.114,50307.8581,0,537863.483,53413.92482,406526.677,145399.5131,303233.1967,67526.26419,102853.2198
Aberlour 12,80,1,SM,71288.73294,849897.7249,19745.65716,4045754.46,30875.20235,0,617439.9112,25434.07283,264913.9576,110715.1772,176145.2582,70468.30208,50429.86311
Aberlour 12,80,2,SM,120213.5328,820979.939,23324.80112,4161804.113,25073.56457,0,527626.7296,20626.93718,217647.2309,74680.61951,118142.5313,58529.51521,39663.36272
Aberlour 12,80,3,SM,114808.9948,938384.3709,23667.956,4282798.236,28784.98078,0,535398.067,22088.35152,231759.2994,85870.90857,128902.0896,69862.23753,45137.73955
