Whiskey,Percent.whiskey,Rep,Style,"1-Butanol, 2-methyl-, acetate","1-Butanol, 3-methyl-, acetate","Acetic acid, 2-phenylethyl ester",Lauryl acetate,Ethyl Acetate,"Acetic acid, decyl ester",1-Tetradecyl acetate,"Farnesol, acetate","Acetic acid, hexyl ester","Acetic acid, heptyl ester"
The Irishman,90,2,IW,43700.45781,305230.8112,173623.6574,4279.368803,1080176.647,16094.31047,394.5684908,344.6626029,10401.56134,4242.921304
The Irishman,90,3,IW,42497.86578,296150.4862,179489.891,4463.842775,1095392.285,17232.85754,520.7337375,398.2119179,10089.79281,3541.055477
The Irishman,100,1,IW,31764.1397,216606.0082,126419.154,973.5494434,1112715.388,6705.189284,355.6167561,0,6448.916571,3851.427375
The Irishman,100,2,IW,34057.44961,222875.0335,103290.2541,769.4123143,1220737.928,6003.64666,104.7672824,0,6161.459685,3492.821606
The Irishman,100,3,IW,36599.0878,252453.9502,125080.3317,1008.626591,1143386.774,6779.968413,221.461888,0,7760.524817,3996.529192
Laphroaig 10,50,1,SM,127438.8741,512943.1605,434565.3565,19658.83776,1264542.391,69135.9397,6093.209939,19981.23965,16427.63485,11428.70696
Laphroaig 10,50,2,SM,136919.9168,550611.9974,423207.2273,19399.79538,1346041.793,65609.98147,5946.99443,20527.59235,18299.89305,12283.398
Laphroaig 10,50,3,SM,115224.657,456044.7153,382200.6535,17229.29606,1121000.435,61501.85685,4916.7784,18520.70475,17871.30372,11184.99309
Laphroaig 10,60,1,SM,111150.4213,451213.7158,373589.7544,17118.80067,1538176.7,52209.9337,4198.05505,14116.70974,14584.71131,10165.9943
Laphroaig 10,60,2,SM,116476.0672,473691.6608,438193.0653,25283.5831,1568470.332,72035.05715,6226.42537,17933.97477,13348.10745,10218.22985
Laphroaig 10,60,3,SM,57021.98997,251401.393,315206.1221,17933.35153,1527589.814,43598.8751,4708.675607,16194.98784,11503.34089,9752.577233
Laphroaig 10,70,1,SM,95675.71335,389098.9321,339265.0854,15873.30451,1492917.791,34961.65168,6071.902188,10924.49877,11429.43396,9547.29262
Laphroaig 10,70,2,SM,96512.3773,376395.0842,295602.2378,12448.20956,1503590.82,28376.33468,5043.281366,8721.980623,10483.26407,8568.845956
Laphroaig 10,70,3,SM,93510.2379,385340.6278,309383.7329,13367.23207,1480871.61,30026.82947,5180.173667,8885.378256,11582.22164,8988.098528
Laphroaig 10,80,1,SM,75457.86145,303714.3462,230320.299,7972.921562,1448626.659,17066.50983,4167.900094,5158.40619,8005.424542,8594.228783
Laphroaig 10,80,2,SM,85742.03243,340416.9384,221852.8278,7383.443811,1475089.679,16603.22407,2880.236738,4885.266578,9093.576073,8477.869442
Laphroaig 10,80,3,SM,84409.23249,336175.9518,232652.4636,7624.872718,1487682.567,18447.10371,3170.752601,4891.906192,7604.163052,8846.190916
Laphroaig 10,90,1,SM,33302.61201,152132.7874,164216.0476,1786.820145,1794065.807,7476.883584,593.2289206,1798.596187,4562.794924,8148.974921
Laphroaig 10,90,2,SM,68773.36789,276005.9847,189521.8038,2684.672435,1729760.59,8993.636174,1472.552617,2298.786654,6605.647236,8558.397055
Laphroaig 10,90,3,SM,69150.20708,270798.535,182668.0466,2437.787414,1672384.347,8476.760051,1357.094,1912.332144,6650.655995,7999.108711
Laphroaig 10,100,1,SM,61178.30337,234062.2939,139065.922,627.3286789,1686310.863,4265.244448,0,798.5505764,5018.138711,6910.861192
Laphroaig 10,100,2,SM,49908.90587,192830.2331,123187.8768,434.9297493,1565316.979,3643.495743,160.3716784,520.593444,3848.056395,7182.807141
Laphroaig 10,100,3,SM,51831.61294,190612.9529,141328.6544,519.4806822,1463992.28,4038.749039,211.1209445,644.7862692,4140.833106,7214.264904
Maker's Mark,50,1,BU,181777.743,711376.6671,210797.1006,2809.728123,4819886.199,1939.872369,0,485.4032006,11588.65578,12128.12922
Maker's Mark,50,2,BU,196191.7753,772740.0966,266184.2451,3653.530358,4606029.292,2620.262921,0,768.5797615,13277.5927,12510.03624
Maker's Mark,50,3,BU,207154.1558,795980.3764,281535.3523,3452.391108,4850979.296,2652.978936,0,820.7922181,13193.05371,12616.05554
Maker's Mark,60,1,BU,158078.825,622285.5931,200283.25,1266.119551,4824212.803,1064.584563,0,426.8562781,10082.09871,12045.30545
Maker's Mark,60,2,BU,151386.9517,598398.6005,207288.1406,1350.021503,4593998.897,1130.489896,0,742.3154123,9729.960718,12449.234
Maker's Mark,60,3,BU,180956.8404,689220.7813,215138.6688,1245.036378,5064157.234,1224.506032,0,594.04035,10698.29058,12433.18691
Maker's Mark,70,1,BU,101120.2809,393754.9665,149544.9369,0,4836293.88,291.2731442,204.958179,373.9431097,5187.96752,10207.37849
Maker's Mark,70,2,BU,121708.192,461379.8917,164649.741,0,4595106.863,742.5664534,188.3819133,279.2608901,6641.820104,10638.62624
Maker's Mark,70,3,BU,111579.8067,424408.1801,148261.2967,0,4520801.592,470.9733977,137.7471888,398.7557272,6079.483027,10251.78974
